              4   3
      635.000
      1210.00
      2155.00
      2800.00
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
      233.000       269.000         287.000
    6.330000E-01    6.443334E-01    6.500000E-01    6.424444E-01
    6.137477E-01    6.250811E-01    6.307476E-01    6.231921E-01
    5.944954E-01    6.058288E-01    6.114953E-01    6.039398E-01
    5.752431E-01    5.865764E-01    5.922430E-01    5.846875E-01
    5.570042E-01    5.684152E-01    5.741207E-01    5.665134E-01
    5.401879E-01    5.517858E-01    5.575848E-01    5.498528E-01
    5.233716E-01    5.351564E-01    5.410488E-01    5.331922E-01
    5.065553E-01    5.185269E-01    5.245127E-01    5.165316E-01
    4.916960E-01    5.035383E-01    5.094594E-01    5.015646E-01
    4.771874E-01    4.888437E-01    4.946718E-01    4.869010E-01
    4.626788E-01    4.741491E-01    4.798842E-01    4.722373E-01
    4.485968E-01    4.599795E-01    4.656708E-01    4.580824E-01
    4.357044E-01    4.472739E-01    4.530586E-01    4.453456E-01
    4.228118E-01    4.345682E-01    4.404464E-01    4.326088E-01
    4.099194E-01    4.218625E-01    4.278342E-01    4.198720E-01
    3.980379E-01    4.099085E-01    4.158438E-01    4.079300E-01
    3.865982E-01    3.982827E-01    4.041250E-01    3.963353E-01
    3.751584E-01    3.866569E-01    3.924062E-01    3.847405E-01
    3.638124E-01    3.751249E-01    3.807811E-01    3.732394E-01
    3.532097E-01    3.643361E-01    3.698994E-01    3.624817E-01
    3.426069E-01    3.535474E-01    3.590176E-01    3.517240E-01
    3.320042E-01    3.427587E-01    3.481359E-01    3.409662E-01
    3.221164E-01    3.326844E-01    3.379684E-01    3.309231E-01
    3.128677E-01    3.232489E-01    3.284395E-01    3.215187E-01
    3.036190E-01    3.138133E-01    3.189105E-01    3.121143E-01
    2.943703E-01    3.043778E-01    3.093815E-01    3.027098E-01
    2.865003E-01    2.963217E-01    3.012324E-01    2.946848E-01
    2.786877E-01    2.883232E-01    2.931409E-01    2.867173E-01
    2.708752E-01    2.803246E-01    2.850493E-01    2.787497E-01
    2.633774E-01    2.726408E-01    2.772725E-01    2.710969E-01
    2.564019E-01    2.654793E-01    2.700180E-01    2.639664E-01
    2.494264E-01    2.583178E-01    2.627635E-01    2.568359E-01
    2.424510E-01    2.511563E-01    2.555090E-01    2.497054E-01
    2.372265E-01    2.458931E-01    2.502265E-01    2.444487E-01
    2.324618E-01    2.411285E-01    2.454619E-01    2.396841E-01
    2.276972E-01    2.363639E-01    2.406972E-01    2.349195E-01
    2.230624E-01    2.316874E-01    2.359999E-01    2.302499E-01
    2.188771E-01    2.273161E-01    2.315356E-01    2.259096E-01
    2.146918E-01    2.229448E-01    2.270713E-01    2.215693E-01
    2.105065E-01    2.185735E-01    2.226070E-01    2.172290E-01
    2.064887E-01    2.144887E-01    2.184887E-01    2.131553E-01
    2.025650E-01    2.105650E-01    2.145650E-01    2.092317E-01
    1.986413E-01    2.066413E-01    2.106413E-01    2.053080E-01
    1.947590E-01    2.027456E-01    2.067389E-01    2.014145E-01
    1.914108E-01    1.992114E-01    2.031117E-01    1.979113E-01
    1.880625E-01    1.956772E-01    1.994844E-01    1.944081E-01
    1.847143E-01    1.921429E-01    1.958572E-01    1.909048E-01
    1.815023E-01    1.888356E-01    1.925023E-01    1.876134E-01
    1.784331E-01    1.857664E-01    1.894331E-01    1.845442E-01
    1.753638E-01    1.826972E-01    1.863638E-01    1.814750E-01
    1.722946E-01    1.796280E-01    1.832946E-01    1.784057E-01
    1.697197E-01    1.770530E-01    1.807197E-01    1.758308E-01
    1.671973E-01    1.745306E-01    1.781972E-01    1.733084E-01
    1.646748E-01    1.720081E-01    1.756748E-01    1.707859E-01
    1.622499E-01    1.695208E-01    1.731562E-01    1.683090E-01
    1.600178E-01    1.671027E-01    1.706451E-01    1.659219E-01
    1.577858E-01    1.646846E-01    1.681340E-01    1.635348E-01
    1.555537E-01    1.622665E-01    1.656229E-01    1.611477E-01
    1.533215E-01    1.599882E-01    1.633215E-01    1.588771E-01
    1.510894E-01    1.577561E-01    1.610894E-01    1.566449E-01
    1.488572E-01    1.555239E-01    1.588572E-01    1.544128E-01
    1.466704E-01    1.533371E-01    1.566705E-01    1.522260E-01
    1.447086E-01    1.513752E-01    1.547086E-01    1.502641E-01
    1.427467E-01    1.494133E-01    1.527467E-01    1.483022E-01
    1.407848E-01    1.474514E-01    1.507848E-01    1.463403E-01
    1.389955E-01    1.455506E-01    1.488281E-01    1.444581E-01
    1.373214E-01    1.436905E-01    1.468750E-01    1.426290E-01
    1.356473E-01    1.418303E-01    1.449219E-01    1.407998E-01
    1.339776E-01    1.399746E-01    1.429731E-01    1.389751E-01
    1.325762E-01    1.383864E-01    1.412914E-01    1.374180E-01
    1.311748E-01    1.367981E-01    1.396098E-01    1.358609E-01
    1.297735E-01    1.352099E-01    1.379282E-01    1.343039E-01
    1.283749E-01    1.337083E-01    1.363749E-01    1.328194E-01
